ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	RC	Helitron
ltr-1_family-5	LTR	Pao
ltr-1_family-6	LTR	Unknown
rnd-1_family-75	LINE	RTE-RTE
rnd-1_family-24	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-214	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-26	LINE	RTE-RTE
rnd-1_family-95	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-200	DNA	TcMar-Mariner
rnd-1_family-142	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-177	LINE	Penelope
rnd-1_family-149	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-204	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-211	LINE	RTE-RTE
rnd-1_family-105	LINE	RTE-RTE
rnd-1_family-170	LINE	RTE-RTE
rnd-1_family-87	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-167	LINE	RTE-RTE
rnd-1_family-82	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-180	DNA	TcMar-Mariner
rnd-1_family-78	LINE	RTE-RTE
rnd-1_family-133	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-171	LINE	RTE-RTE
rnd-1_family-49	LINE	RTE-RTE
rnd-1_family-132	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-86	LINE	RTE-RTE
rnd-1_family-58	Unknown	Unknown
rnd-1_family-88	LINE	RTE-RTE
rnd-1_family-125	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-162	LINE	RTE-RTE
rnd-1_family-112	Unknown	Unknown
rnd-1_family-145	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-202	DNA	TcMar-Mariner
rnd-1_family-43	Unknown	Unknown
rnd-1_family-176	DNA	TcMar-Mariner
rnd-1_family-146	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-183	DNA	TcMar-Mariner
rnd-1_family-79	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
