ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Copia
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-67	Unknown	Unknown
rnd-1_family-106	LINE	Penelope
rnd-1_family-29	Unknown	Unknown
rnd-1_family-152	DNA	hAT-Charlie
rnd-1_family-262	Unknown	Unknown
rnd-1_family-228	Unknown	Unknown
rnd-1_family-124	LINE	Penelope
rnd-1_family-8	Unknown	Unknown
rnd-1_family-57	LINE	Penelope
rnd-1_family-75	Unknown	Unknown
rnd-1_family-28	LINE	Penelope
rnd-1_family-100	DNA	TcMar-Tigger
rnd-1_family-289	Unknown	Unknown
rnd-1_family-10	LINE	Penelope
rnd-1_family-173	Unknown	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-37	DNA	TcMar-Tigger
rnd-1_family-203	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-226	DNA	Merlin
rnd-1_family-283	DNA	hAT-Charlie
rnd-1_family-72	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-275	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-221	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-287	DNA	hAT-Charlie
rnd-1_family-71	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-294	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-58	DNA	TcMar-Mariner
rnd-1_family-255	Unknown	Unknown
rnd-1_family-7	LINE	Penelope
rnd-1_family-135	LINE	Penelope
rnd-1_family-200	Unknown	Unknown
rnd-1_family-243	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-174	DNA	TcMar-Tigger
rnd-1_family-263	DNA	TcMar-Mariner
rnd-1_family-65	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-156	LINE	Penelope
rnd-1_family-0	DNA	MULE-MuDR
rnd-1_family-77	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-140	DNA	TcMar-Tigger
rnd-1_family-21	DNA	MULE-MuDR
rnd-1_family-254	DNA	MULE-MuDR
rnd-1_family-91	Unknown	Unknown
rnd-1_family-171	LINE	Penelope
rnd-1_family-78	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-168	LINE	Penelope
rnd-1_family-176	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-80	LINE	Penelope
rnd-1_family-234	Unknown	Unknown
rnd-1_family-249	LINE	Penelope
rnd-1_family-191	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-39	DNA	MULE-MuDR
rnd-1_family-288	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-208	DNA	hAT-Charlie
rnd-1_family-150	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-269	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-76	LINE	Penelope
rnd-1_family-64	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-204	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-230	DNA	Merlin
rnd-1_family-157	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-35	LINE	Penelope
rnd-1_family-36	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-194	DNA	TcMar-Tigger
