ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-222	Unknown	Unknown
rnd-1_family-252	DNA	MULE-MuDR
rnd-1_family-266	LTR	Gypsy
rnd-1_family-74	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-3	DNA	hAT-Tip100
rnd-1_family-110	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-253	DNA	hAT-Charlie
rnd-1_family-228	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-264	Unknown	Unknown
rnd-1_family-11	DNA	hAT-Tip100
rnd-1_family-257	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-276	Unknown	Unknown
rnd-1_family-243	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-229	DNA	MULE-MuDR
rnd-1_family-45	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-280	LTR	Pao
rnd-1_family-10	DNA	hAT-Tip100
rnd-1_family-292	DNA	PiggyBac
rnd-1_family-143	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-47	DNA	MULE-MuDR
rnd-1_family-140	DNA	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-238	DNA	hAT-Tip100
rnd-1_family-43	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-246	DNA	MULE-MuDR
rnd-1_family-50	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-97	DNA	hAT-Charlie
rnd-1_family-210	Unknown	Unknown
rnd-1_family-208	DNA	MULE-MuDR
rnd-1_family-135	LTR	Copia
rnd-1_family-160	Unknown	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-30	DNA	hAT-Tip100
rnd-1_family-270	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-235	DNA	hAT-Charlie
rnd-1_family-290	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-298	DNA	hAT-Charlie
rnd-1_family-161	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-232	Unknown	Unknown
rnd-1_family-4	DNA	MULE-MuDR
rnd-1_family-172	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-255	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-34	LTR	Gypsy
rnd-1_family-52	Unknown	Unknown
rnd-1_family-35	DNA	hAT-Charlie
rnd-1_family-188	Unknown	Unknown
rnd-1_family-233	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
