ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
rnd-1_family-89	Simple_repeat	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-174	Simple_repeat	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-80	Simple_repeat	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-128	RC	Helitron
rnd-1_family-12	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-99	Simple_repeat	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-132	Simple_repeat	Unknown
rnd-1_family-200	Unknown	Unknown
rnd-1_family-111	Simple_repeat	Unknown
rnd-1_family-177	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-125	DNA	TcMar-Pogo
rnd-1_family-85	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-127	Simple_repeat	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-186	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-173	Simple_repeat	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
