ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Pao
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Pao
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Pao
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Pao
ltr-1_family-40	LTR	Pao
ltr-1_family-5	LTR	Pao
ltr-1_family-41	LTR	Pao
ltr-1_family-42	LTR	Pao
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Pao
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	DNA	TcMar-Tc4
ltr-1_family-47	DNA	TcMar-Tc1
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Gypsy
ltr-1_family-53	LTR	Gypsy
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-149	Unknown	Unknown
rnd-1_family-28	DNA	Unknown
rnd-1_family-98	DNA	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-74	DNA	Unknown
rnd-1_family-123	Satellite	Unknown
rnd-1_family-51	DNA	hAT
rnd-1_family-78	DNA	Unknown
rnd-1_family-103	DNA	TcMar-Pogo
