ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-103	LTR	Pao
ltr-1_family-104	LTR	Pao
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Pao
ltr-1_family-107	LTR	Pao
ltr-1_family-108	LTR	Unknown
ltr-1_family-109	LTR	Unknown
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LTR	Gypsy
ltr-1_family-113	LTR	Unknown
ltr-1_family-114	LTR	Pao
ltr-1_family-115	LTR	Unknown
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Pao
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Pao
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	DNA	TcMar-Tc1
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Pao
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Pao
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Pao
ltr-1_family-54	LTR	Gypsy
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Gypsy
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Pao
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Pao
ltr-1_family-64	LTR	Unknown
ltr-1_family-65	LTR	Pao
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Pao
ltr-1_family-68	LTR	Pao
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Unknown
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Pao
ltr-1_family-75	LTR	Unknown
ltr-1_family-76	LTR	Pao
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	DNA	TcMar-Tc1
ltr-1_family-79	LTR	Unknown
ltr-1_family-80	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Gypsy
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Gypsy
ltr-1_family-85	LTR	Unknown
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Pao
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Pao
ltr-1_family-90	LTR	Unknown
ltr-1_family-10	LTR	Pao
ltr-1_family-91	LTR	Gypsy
ltr-1_family-92	LTR	Gypsy
ltr-1_family-93	LTR	Pao
ltr-1_family-94	RC	Helitron
ltr-1_family-95	LTR	Gypsy
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	DNA	Maverick
ltr-1_family-98	LTR	Unknown
ltr-1_family-99	LTR	Pao
ltr-1_family-100	LTR	Unknown
rnd-1_family-6	Simple_repeat	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-267	DNA	TcMar-Tc1
rnd-1_family-298	Unknown	Unknown
rnd-1_family-259	DNA	TcMar-Tc1
rnd-1_family-48	Unknown	Unknown
rnd-1_family-354	DNA	TcMar-Tc1
rnd-1_family-160	Unknown	Unknown
rnd-1_family-181	DNA	TcMar-Tc1
rnd-1_family-339	Unknown	Unknown
rnd-1_family-340	DNA	TcMar-Tc1
rnd-1_family-301	DNA	PiggyBac
rnd-1_family-280	DNA	TcMar-Tc1
rnd-1_family-148	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-312	Unknown	Unknown
rnd-1_family-316	Unknown	Unknown
rnd-1_family-15	Simple_repeat	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-306	Unknown	Unknown
rnd-1_family-310	Unknown	Unknown
rnd-1_family-229	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-130	DNA	TcMar-Tc1
rnd-1_family-47	Unknown	Unknown
rnd-1_family-357	DNA	TcMar-Tc1
rnd-1_family-42	Unknown	Unknown
