ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Pao
ltr-1_family-102	LTR	Unknown
ltr-1_family-103	LINE	Penelope
ltr-1_family-104	LTR	Unknown
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Unknown
ltr-1_family-107	LTR	Unknown
ltr-1_family-108	tRNA	Unknown
ltr-1_family-109	LTR	Unknown
ltr-1_family-110	LTR	Gypsy
ltr-1_family-12	LTR	Gypsy
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LINE	Penelope
ltr-1_family-113	LTR	Unknown
ltr-1_family-114	LTR	Gypsy
ltr-1_family-115	LTR	Unknown
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Unknown
ltr-1_family-119	LTR	Unknown
ltr-1_family-120	LINE	RTE-BovB
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LINE	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Pao
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LINE	L2
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Gypsy
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Pao
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Gypsy
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Pao
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Gypsy
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LINE	Penelope
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LINE	RTE-BovB
ltr-1_family-64	LTR	Unknown
ltr-1_family-65	LTR	Gypsy
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Pao
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Gypsy
ltr-1_family-70	LTR	Gypsy
ltr-1_family-8	LTR	Gypsy
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Pao
ltr-1_family-73	LTR	Gypsy
ltr-1_family-74	LTR	Unknown
ltr-1_family-75	LTR	Gypsy
ltr-1_family-76	LTR	Gypsy
ltr-1_family-77	LINE	RTE-BovB
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LINE	RTE-BovB
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LINE	RTE-BovB
ltr-1_family-82	LTR	Unknown
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Pao
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Unknown
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Unknown
ltr-1_family-90	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LINE	Unknown
ltr-1_family-92	LTR	Unknown
ltr-1_family-93	LTR	Unknown
ltr-1_family-94	LINE	RTE
ltr-1_family-95	LTR	Unknown
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	LTR	Gypsy
ltr-1_family-98	LINE	R2
ltr-1_family-99	LTR	Unknown
ltr-1_family-100	LTR	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-248	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-64	LINE	RTE-BovB
rnd-1_family-137	LINE	CR1
rnd-1_family-144	LINE	Penelope
rnd-1_family-229	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-164	LINE	RTE-BovB
rnd-1_family-107	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-204	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
