ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Gypsy
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Pao
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Pao
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-48	DNA	TcMar-Tc1
rnd-1_family-51	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-112	DNA	TcMar-Tc1
rnd-1_family-10	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-137	DNA	PIF-Harbinger
rnd-1_family-74	DNA	TcMar-Tc1
rnd-1_family-134	Unknown	Unknown
rnd-1_family-113	DNA	CMC-Mirage
rnd-1_family-35	Unknown	Unknown
rnd-1_family-77	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-132	DNA	TcMar-Tc1
rnd-1_family-17	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-32	DNA	hAT
rnd-1_family-89	Unknown	Unknown
rnd-1_family-59	DNA	TcMar-Tc4
rnd-1_family-42	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
