ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-83	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-89	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-137	DNA	TcMar-Mariner
rnd-1_family-3	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-43	LINE	RTE-RTE
rnd-1_family-80	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-76	LINE	RTE-RTE
rnd-1_family-72	Unknown	Unknown
rnd-1_family-100	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-41	LINE	RTE-RTE
rnd-1_family-158	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-156	Unknown	Unknown
rnd-1_family-145	LINE	Penelope
rnd-1_family-14	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-149	LINE	Penelope
rnd-1_family-13	Unknown	Unknown
rnd-1_family-66	LINE	Penelope
rnd-1_family-88	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-101	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-155	LINE	Penelope
rnd-1_family-74	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-144	DNA	TcMar-Mariner
rnd-1_family-45	LINE	Penelope
rnd-1_family-134	DNA	TcMar-Mariner
rnd-1_family-33	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-82	LINE	RTE-RTE
rnd-1_family-161	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-153	DNA	TcMar-Mariner
rnd-1_family-125	DNA	TcMar-Mariner
rnd-1_family-151	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-164	DNA	TcMar-Mariner
rnd-1_family-77	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-165	DNA	TcMar-Mariner
rnd-1_family-114	Unknown	Unknown
rnd-1_family-17	LINE	RTE-RTE
rnd-1_family-154	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-51	LINE	RTE-RTE
