ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	DNA	TcMar-Tc2
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	DNA	MULE-MuDR
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Copia
ltr-1_family-23	LTR	Pao
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Copia
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Gypsy
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-203	DNA	TcMar-Tigger
rnd-1_family-56	LINE	Penelope
rnd-1_family-0	LINE	Penelope
rnd-1_family-264	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-250	Unknown	Unknown
rnd-1_family-179	DNA	TcMar-Mariner
rnd-1_family-48	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-180	DNA	Merlin
rnd-1_family-186	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-148	DNA	TcMar-Tigger
rnd-1_family-246	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-86	tRNA	Unknown
rnd-1_family-68	DNA	hAT-Charlie
rnd-1_family-1	LINE	Penelope
rnd-1_family-70	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-205	DNA	hAT-Charlie
rnd-1_family-53	Unknown	Unknown
rnd-1_family-83	LINE	Penelope
rnd-1_family-60	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-218	DNA	TcMar-Tigger
rnd-1_family-105	LINE	Penelope
rnd-1_family-106	Unknown	Unknown
rnd-1_family-8	DNA	hAT-Charlie
rnd-1_family-139	tRNA	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-72	DNA	hAT-Charlie
rnd-1_family-111	Unknown	Unknown
rnd-1_family-88	DNA	TcMar-Tigger
rnd-1_family-30	Unknown	Unknown
rnd-1_family-119	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-157	DNA	TcMar-Tigger
rnd-1_family-74	LINE	Penelope
rnd-1_family-184	LINE	Penelope
rnd-1_family-57	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-137	DNA	hAT-Charlie
rnd-1_family-248	DNA	TcMar-Tc2
rnd-1_family-43	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-140	Unknown	Unknown
rnd-1_family-103	DNA	hAT-Charlie
rnd-1_family-51	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-114	DNA	hAT-Charlie
rnd-1_family-192	Unknown	Unknown
rnd-1_family-258	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-12	LINE	Penelope
rnd-1_family-66	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-63	LINE	Penelope
rnd-1_family-155	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-257	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-76	LINE	Penelope
rnd-1_family-99	Unknown	Unknown
rnd-1_family-215	DNA	hAT-Charlie
rnd-1_family-65	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-84	DNA	hAT-Charlie
rnd-1_family-241	DNA	TcMar-Tigger
