ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-194	Unknown	Unknown
rnd-1_family-445	Unknown	Unknown
rnd-1_family-390	Unknown	Unknown
rnd-1_family-304	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-495	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-202	Unknown	Unknown
rnd-1_family-400	Unknown	Unknown
rnd-1_family-139	Unknown	Unknown
rnd-1_family-320	Unknown	Unknown
rnd-1_family-349	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-463	Unknown	Unknown
rnd-1_family-334	Unknown	Unknown
rnd-1_family-218	Unknown	Unknown
rnd-1_family-264	Unknown	Unknown
rnd-1_family-293	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-221	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-356	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-345	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-228	Unknown	Unknown
rnd-1_family-300	Unknown	Unknown
rnd-1_family-513	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-406	Unknown	Unknown
rnd-1_family-277	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-394	Unknown	Unknown
rnd-1_family-487	Unknown	Unknown
rnd-1_family-457	Unknown	Unknown
