ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-3	LTR	Gypsy
ltr-1_family-4	LTR	Unknown
rnd-1_family-267	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-583	Unknown	Unknown
rnd-1_family-266	Unknown	Unknown
rnd-1_family-479	Unknown	Unknown
rnd-1_family-358	Unknown	Unknown
rnd-1_family-591	LTR	Pao
rnd-1_family-386	Unknown	Unknown
rnd-1_family-203	Unknown	Unknown
rnd-1_family-484	LTR	Pao
rnd-1_family-631	Unknown	Unknown
rnd-1_family-462	LINE	Rex-Babar
rnd-1_family-452	Unknown	Unknown
rnd-1_family-559	Unknown	Unknown
rnd-1_family-494	Unknown	Unknown
rnd-1_family-561	LINE	Penelope
rnd-1_family-272	Unknown	Unknown
rnd-1_family-19	tRNA	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-61	LINE	RTE-BovB
rnd-1_family-539	Unknown	Unknown
rnd-1_family-226	LINE	Penelope
rnd-1_family-259	Unknown	Unknown
rnd-1_family-560	LINE	Penelope
rnd-1_family-146	LINE	CR1
rnd-1_family-405	Unknown	Unknown
rnd-1_family-116	Unknown	Unknown
rnd-1_family-387	Unknown	Unknown
rnd-1_family-261	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-574	Unknown	Unknown
rnd-1_family-607	Unknown	Unknown
rnd-1_family-524	Unknown	Unknown
rnd-1_family-520	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-536	LINE	Penelope
rnd-1_family-293	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-391	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-608	Unknown	Unknown
rnd-1_family-182	LINE	Penelope
rnd-1_family-231	LINE	CR1
rnd-1_family-562	Unknown	Unknown
rnd-1_family-195	Unknown	Unknown
rnd-1_family-129	LINE	Penelope
rnd-1_family-164	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-584	LINE	Penelope
rnd-1_family-467	Unknown	Unknown
rnd-1_family-359	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-124	Unknown	Unknown
rnd-1_family-178	LINE	RTE-BovB
rnd-1_family-455	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-308	LINE	Penelope
rnd-1_family-43	RC	Helitron
rnd-1_family-593	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-83	LINE	RTE-BovB
rnd-1_family-102	Unknown	Unknown
rnd-1_family-505	Unknown	Unknown
rnd-1_family-511	Unknown	Unknown
rnd-1_family-162	LINE	Unknown
rnd-1_family-360	Unknown	Unknown
rnd-1_family-481	Unknown	Unknown
rnd-1_family-276	LINE	Penelope
rnd-1_family-332	Unknown	Unknown
rnd-1_family-423	LINE	RTE-BovB
rnd-1_family-512	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
rnd-1_family-551	Unknown	Unknown
rnd-1_family-248	Unknown	Unknown
rnd-1_family-411	Unknown	Unknown
rnd-1_family-338	Unknown	Unknown
rnd-1_family-49	LINE	RTE-BovB
rnd-1_family-569	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-194	LINE	RTE-BovB
rnd-1_family-454	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-343	LINE	Penelope
rnd-1_family-416	LINE	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-477	Unknown	Unknown
rnd-1_family-544	Unknown	Unknown
rnd-1_family-501	Unknown	Unknown
rnd-1_family-254	Unknown	Unknown
rnd-1_family-241	LINE	Penelope
rnd-1_family-176	LINE	Penelope
rnd-1_family-23	RC	Helitron
rnd-1_family-2	SINE	tRNA-V-RTE
rnd-1_family-588	Unknown	Unknown
rnd-1_family-95	LINE	RTE-BovB
rnd-1_family-420	LTR	Pao
rnd-1_family-368	LINE	CR1
rnd-1_family-366	LINE	Penelope
rnd-1_family-288	LINE	Penelope
rnd-1_family-371	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-487	Unknown	Unknown
rnd-1_family-128	LINE	RTE-BovB
rnd-1_family-626	Unknown	Unknown
rnd-1_family-306	LINE	Penelope
rnd-1_family-152	LINE	RTE-BovB
rnd-1_family-610	Unknown	Unknown
rnd-1_family-78	Unknown	Unknown
rnd-1_family-331	LINE	CR1
rnd-1_family-269	Unknown	Unknown
rnd-1_family-123	LINE	RTE-BovB
rnd-1_family-352	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-445	LINE	CR1
rnd-1_family-382	Unknown	Unknown
rnd-1_family-418	LINE	CR1
rnd-1_family-185	LINE	RTE-BovB
rnd-1_family-527	Unknown	Unknown
rnd-1_family-553	Unknown	Unknown
rnd-1_family-330	LINE	RTE-BovB
rnd-1_family-373	LINE	Penelope
rnd-1_family-472	Unknown	Unknown
rnd-1_family-107	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-51	LINE	RTE-BovB
rnd-1_family-339	Unknown	Unknown
rnd-1_family-570	LINE	Penelope
rnd-1_family-532	LINE	Rex-Babar
rnd-1_family-309	LINE	Unknown
rnd-1_family-70	LINE	RTE-BovB
rnd-1_family-548	Unknown	Unknown
rnd-1_family-537	Unknown	Unknown
rnd-1_family-233	Unknown	Unknown
rnd-1_family-540	Unknown	Unknown
