ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	ERV1
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Pao
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Pao
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	DNA	hAT-Pegasus
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-13	tRNA	Unknown
rnd-1_family-6	RC	Helitron
rnd-1_family-14	LINE	L2
rnd-1_family-18	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-16	LINE	L2
rnd-1_family-2	Unknown	Unknown
rnd-1_family-21	DNA	hAT-Ac
rnd-1_family-20	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-8	RC	Helitron
rnd-1_family-34	DNA	hAT-Ac
rnd-1_family-37	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-3	tRNA	Unknown
rnd-1_family-33	Simple_repeat	Unknown
rnd-1_family-22	LINE	RTE-RTE
rnd-1_family-10	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-35	LINE	CR1
rnd-1_family-26	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-25	LINE	Penelope
rnd-1_family-32	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-30	LINE	CR1
rnd-1_family-17	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-39	LINE	CR1
rnd-1_family-1	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-7	tRNA	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	LINE	L2
rnd-1_family-46	LINE	RTE-RTE
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	DNA	TcMar-Tigger
rnd-1_family-49	LINE	RTE-RTE
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	LINE	RTE-RTE
rnd-1_family-52	LINE	RTE-RTE
rnd-1_family-53	Unknown	Unknown
rnd-1_family-54	LTR	Gypsy
rnd-1_family-55	LINE	RTE-RTE
rnd-1_family-57	Unknown	Unknown
rnd-1_family-56	LINE	RTE-RTE
rnd-1_family-58	LINE	CR1
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-61	LTR	Gypsy
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-66	LINE	RTE-RTE
rnd-1_family-67	LINE	RTE-RTE
rnd-1_family-68	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
