ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	DNA	TcMar-Mariner
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Pao
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-5	Unknown	Unknown
rnd-1_family-100	LINE	Penelope
rnd-1_family-81	LINE	Penelope
rnd-1_family-18	SINE	tRNA-Deu
rnd-1_family-90	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-153	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-130	DNA	TcMar-Mariner
rnd-1_family-58	LINE	Penelope
rnd-1_family-23	Unknown	Unknown
rnd-1_family-94	Simple_repeat	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-42	LINE	RTE-RTE
rnd-1_family-108	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-140	LINE	Penelope
rnd-1_family-128	Unknown	Unknown
rnd-1_family-51	LINE	Penelope
rnd-1_family-113	DNA	TcMar-Mariner
rnd-1_family-161	DNA	TcMar-Mariner
rnd-1_family-10	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-59	LINE	RTE-BovB
rnd-1_family-36	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-104	LINE	Penelope
rnd-1_family-102	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
