ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Pao
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Gypsy
ltr-1_family-103	LTR	Unknown
ltr-1_family-104	LTR	Gypsy
ltr-1_family-105	DNA	CMC-Chapaev
ltr-1_family-106	LTR	Unknown
ltr-1_family-107	LTR	Unknown
ltr-1_family-108	LTR	Unknown
ltr-1_family-109	LTR	Gypsy
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LTR	Unknown
ltr-1_family-113	LTR	Unknown
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Gypsy
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Pao
ltr-1_family-119	LTR	Unknown
ltr-1_family-120	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	LTR	Pao
ltr-1_family-122	LTR	Pao
ltr-1_family-123	LTR	Unknown
ltr-1_family-124	LTR	Gypsy
ltr-1_family-125	LTR	Unknown
ltr-1_family-126	LTR	Gypsy
ltr-1_family-127	LTR	Unknown
ltr-1_family-128	LTR	Unknown
ltr-1_family-129	LTR	Pao
ltr-1_family-130	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-131	LTR	Pao
ltr-1_family-132	LTR	Unknown
ltr-1_family-133	LTR	Unknown
ltr-1_family-134	LTR	Pao
ltr-1_family-135	LTR	Pao
ltr-1_family-136	LTR	Unknown
ltr-1_family-137	LTR	Unknown
ltr-1_family-138	LTR	Gypsy
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Pao
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	RC	Helitron
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Pao
ltr-1_family-35	LTR	Pao
ltr-1_family-36	LTR	Pao
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Pao
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Pao
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Pao
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-51	LTR	Pao
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Pao
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Pao
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Pao
ltr-1_family-58	LTR	Pao
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	RC	Helitron
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Pao
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Pao
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Pao
ltr-1_family-8	LTR	Pao
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Pao
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Pao
ltr-1_family-75	LTR	Pao
ltr-1_family-76	LTR	Pao
ltr-1_family-77	LTR	Pao
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Pao
ltr-1_family-80	LTR	Unknown
ltr-1_family-9	LTR	Pao
ltr-1_family-81	LTR	Gypsy
ltr-1_family-82	LTR	Unknown
ltr-1_family-83	LTR	Unknown
ltr-1_family-84	LTR	Pao
ltr-1_family-85	LTR	Unknown
ltr-1_family-86	LTR	Gypsy
ltr-1_family-87	LTR	Unknown
ltr-1_family-88	LTR	Gypsy
ltr-1_family-89	LTR	Unknown
ltr-1_family-90	LTR	Unknown
ltr-1_family-10	LTR	Unknown
ltr-1_family-91	LTR	Unknown
ltr-1_family-92	LTR	Pao
ltr-1_family-93	LTR	Unknown
ltr-1_family-94	LTR	Gypsy
ltr-1_family-95	DNA	TcMar-Tc1
ltr-1_family-96	LTR	Gypsy
ltr-1_family-97	LTR	Pao
ltr-1_family-98	LTR	Unknown
ltr-1_family-99	DNA	Maverick
ltr-1_family-100	DNA	Maverick
rnd-1_family-157	Unknown	Unknown
rnd-1_family-258	Unknown	Unknown
rnd-1_family-163	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-116	DNA	PiggyBac
rnd-1_family-23	DNA	TcMar-Tc1
rnd-1_family-107	Unknown	Unknown
rnd-1_family-268	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
