ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	SINE	tRNA-RTE
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Gypsy
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	DNA	Unknown
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Gypsy
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Gypsy
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Gypsy
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Gypsy
ltr-1_family-50	DNA	TcMar-Tc4
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Gypsy
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Gypsy
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-471	DNA	TcMar-Tc1
rnd-1_family-426	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-626	Unknown	Unknown
rnd-1_family-420	DNA	TcMar-Tc1
rnd-1_family-481	Unknown	Unknown
rnd-1_family-35	DNA	TcMar-Pogo
rnd-1_family-476	Unknown	Unknown
rnd-1_family-372	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-613	Unknown	Unknown
rnd-1_family-364	Unknown	Unknown
rnd-1_family-491	Unknown	Unknown
rnd-1_family-498	Unknown	Unknown
rnd-1_family-499	Unknown	Unknown
rnd-1_family-350	Unknown	Unknown
rnd-1_family-670	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-584	Unknown	Unknown
rnd-1_family-650	DNA	TcMar-Tc1
rnd-1_family-394	DNA	TcMar-Tc1
rnd-1_family-541	DNA	TcMar-Mariner
rnd-1_family-261	Unknown	Unknown
rnd-1_family-585	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-302	Unknown	Unknown
rnd-1_family-573	RC	Helitron
rnd-1_family-212	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-540	Unknown	Unknown
rnd-1_family-232	Unknown	Unknown
rnd-1_family-283	Unknown	Unknown
rnd-1_family-395	Unknown	Unknown
rnd-1_family-284	Unknown	Unknown
rnd-1_family-323	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-92	RC	Helitron
rnd-1_family-135	Unknown	Unknown
rnd-1_family-488	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-398	Unknown	Unknown
rnd-1_family-666	Unknown	Unknown
rnd-1_family-554	Unknown	Unknown
rnd-1_family-367	Unknown	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-616	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-245	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-257	Unknown	Unknown
rnd-1_family-357	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-259	Unknown	Unknown
rnd-1_family-574	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-528	Unknown	Unknown
rnd-1_family-294	Unknown	Unknown
rnd-1_family-648	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-411	SINE	tRNA-RTE
rnd-1_family-373	Unknown	Unknown
rnd-1_family-506	Unknown	Unknown
rnd-1_family-680	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-496	Unknown	Unknown
rnd-1_family-727	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-642	LINE	CR1
rnd-1_family-239	Unknown	Unknown
rnd-1_family-705	Unknown	Unknown
rnd-1_family-535	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-435	DNA	TcMar-Pogo
rnd-1_family-447	Unknown	Unknown
rnd-1_family-244	DNA	TcMar-Tc1
rnd-1_family-131	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-549	Unknown	Unknown
rnd-1_family-308	Unknown	Unknown
