ID	Order	Superfamily
rnd-1_family-0	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-2_family-3	Simple_repeat	Unknown
rnd-3_family-82	Simple_repeat	Unknown
rnd-3_family-29	Unknown	Unknown
rnd-3_family-153	Unknown	Unknown
rnd-4_family-77	Unknown	Unknown
rnd-4_family-218	Unknown	Unknown
rnd-4_family-915	Unknown	Unknown
rnd-4_family-337	Unknown	Unknown
rnd-4_family-415	Unknown	Unknown
rnd-4_family-855	Unknown	Unknown
rnd-4_family-660	Unknown	Unknown
rnd-5_family-284	Unknown	Unknown
rnd-5_family-4	Unknown	Unknown
rnd-5_family-271	Unknown	Unknown
