ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Pao
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Pao
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	DIRS
ltr-1_family-37	LTR	Pao
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Gypsy
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Pao
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Pao
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Pao
ltr-1_family-54	LTR	Pao
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Gypsy
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Copia
ltr-1_family-62	LTR	Pao
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Pao
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Gypsy
ltr-1_family-68	LTR	Unknown
ltr-1_family-69	LTR	Pao
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Gypsy
ltr-1_family-73	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-130	DNA	TcMar-Tc1
rnd-1_family-195	LINE	RTE-BovB
rnd-1_family-127	Unknown	Unknown
rnd-1_family-107	DNA	TcMar-Mariner
rnd-1_family-211	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-122	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-114	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-172	DNA	TcMar-Tc1
rnd-1_family-125	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-204	DNA	TcMar-Mariner
rnd-1_family-178	Unknown	Unknown
rnd-1_family-166	LINE	RTE-BovB
rnd-1_family-68	Unknown	Unknown
rnd-1_family-69	LINE	RTE-BovB
rnd-1_family-161	DNA	TcMar-Tc1
rnd-1_family-169	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-51	LINE	Penelope
rnd-1_family-145	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-152	LINE	Penelope
rnd-1_family-225	Unknown	Unknown
rnd-1_family-75	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-27	LINE	RTE-RTE
rnd-1_family-120	Unknown	Unknown
rnd-1_family-65	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-209	DNA	TcMar-Tc1
rnd-1_family-116	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-212	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-217	Unknown	Unknown
rnd-1_family-200	LINE	RTE-BovB
rnd-1_family-96	DNA	TcMar-Mariner
rnd-1_family-170	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-173	DNA	TcMar-Mariner
rnd-1_family-128	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-137	DNA	TcMar-Tc1
rnd-1_family-15	Unknown	Unknown
rnd-1_family-215	LINE	RTE-BovB
rnd-1_family-220	LINE	Penelope
rnd-1_family-73	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
