ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Pao
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	DNA	TcMar-Tc1
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Pao
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Gypsy
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Pao
ltr-1_family-27	LTR	Pao
ltr-1_family-28	LTR	Pao
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Pao
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Pao
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-208	Unknown	Unknown
rnd-1_family-472	Unknown	Unknown
rnd-1_family-177	RC	Helitron
rnd-1_family-359	DNA	TcMar-Tc1
rnd-1_family-116	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-410	Unknown	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-515	Unknown	Unknown
rnd-1_family-434	DNA	TcMar-Mariner
rnd-1_family-172	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-314	Unknown	Unknown
rnd-1_family-365	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-190	DNA	TcMar-Mariner
rnd-1_family-164	Unknown	Unknown
rnd-1_family-381	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-276	DNA	TcMar-Tc1
rnd-1_family-236	DNA	PiggyBac
rnd-1_family-481	LINE	RTE-RTE
rnd-1_family-471	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-319	Unknown	Unknown
rnd-1_family-354	DNA	TcMar-Mariner
rnd-1_family-405	DNA	TcMar-Mariner
rnd-1_family-214	Unknown	Unknown
rnd-1_family-370	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-495	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-360	Unknown	Unknown
rnd-1_family-447	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-501	Unknown	Unknown
rnd-1_family-346	Unknown	Unknown
rnd-1_family-379	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-462	DNA	TcMar-Tc1
rnd-1_family-310	DNA	TcMar-Mariner
rnd-1_family-61	Unknown	Unknown
rnd-1_family-216	Unknown	Unknown
rnd-1_family-377	DNA	TcMar-Tc1
rnd-1_family-22	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-255	Unknown	Unknown
rnd-1_family-268	DNA	TcMar-Tc1
rnd-1_family-484	Unknown	Unknown
rnd-1_family-510	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-396	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-348	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-455	Unknown	Unknown
rnd-1_family-458	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-271	Unknown	Unknown
rnd-1_family-196	DNA	TcMar-Mariner
rnd-1_family-200	Unknown	Unknown
rnd-1_family-393	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-244	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-485	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-176	Unknown	Unknown
rnd-1_family-467	Unknown	Unknown
rnd-1_family-498	DNA	TcMar-Mariner
rnd-1_family-274	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-226	DNA	TcMar-Tc1
rnd-1_family-233	Unknown	Unknown
rnd-1_family-315	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-286	Unknown	Unknown
rnd-1_family-444	Unknown	Unknown
rnd-1_family-322	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
