ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Pao
ltr-1_family-10	LTR	Gypsy
rnd-1_family-47	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-334	LINE	CR1
rnd-1_family-13	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-234	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-41	LINE	RTE-BovB
rnd-1_family-305	Unknown	Unknown
rnd-1_family-341	Unknown	Unknown
rnd-1_family-312	Unknown	Unknown
rnd-1_family-57	LINE	RTE-BovB
rnd-1_family-249	LINE	Penelope
rnd-1_family-286	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-143	LINE	RTE-BovB
rnd-1_family-267	LINE	CR1
rnd-1_family-173	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-235	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-204	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-187	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-169	LINE	RTE-BovB
rnd-1_family-150	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-244	LTR	Gypsy
rnd-1_family-261	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-42	LINE	RTE-BovB
rnd-1_family-66	Unknown	Unknown
rnd-1_family-273	LINE	Penelope
rnd-1_family-78	Unknown	Unknown
rnd-1_family-97	LINE	RTE-BovB
rnd-1_family-207	Unknown	Unknown
rnd-1_family-302	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-241	LINE	RTE-BovB
rnd-1_family-263	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-83	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-284	LTR	Gypsy
rnd-1_family-101	LINE	RTE
rnd-1_family-65	Unknown	Unknown
rnd-1_family-106	LINE	RTE-BovB
rnd-1_family-216	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-303	Unknown	Unknown
rnd-1_family-335	Unknown	Unknown
rnd-1_family-308	LINE	CR1
rnd-1_family-79	Unknown	Unknown
rnd-1_family-151	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-194	LINE	RTE-BovB
rnd-1_family-115	Unknown	Unknown
rnd-1_family-149	LINE	Penelope
rnd-1_family-153	Unknown	Unknown
rnd-1_family-36	Unknown	Unknown
rnd-1_family-307	LINE	CR1
rnd-1_family-124	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-246	DNA	Merlin
rnd-1_family-264	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-231	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-342	LINE	CR1
rnd-1_family-270	LINE	RTE-BovB
rnd-1_family-262	Unknown	Unknown
rnd-1_family-329	Unknown	Unknown
rnd-1_family-116	LINE	RTE-BovB
rnd-1_family-279	LINE	RTE-BovB
rnd-1_family-332	LINE	CR1
rnd-1_family-69	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-268	LINE	RTE-BovB
rnd-1_family-160	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-295	LINE	CR1
rnd-1_family-90	LINE	L1
rnd-1_family-8	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-188	Unknown	Unknown
rnd-1_family-293	LINE	RTE-BovB
rnd-1_family-224	LINE	CR1
rnd-1_family-265	Unknown	Unknown
rnd-1_family-304	Unknown	Unknown
rnd-1_family-336	Unknown	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-179	LINE	RTE-BovB
rnd-1_family-75	LINE	RTE-BovB
rnd-1_family-99	LINE	RTE-BovB
rnd-1_family-251	Unknown	Unknown
rnd-1_family-229	Unknown	Unknown
rnd-1_family-165	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-242	Unknown	Unknown
rnd-1_family-186	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-174	LINE	Rex-Babar
rnd-1_family-292	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-55	LINE	RTE-BovB
rnd-1_family-333	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-290	Unknown	Unknown
rnd-1_family-195	LINE	CR1
rnd-1_family-227	Unknown	Unknown
rnd-1_family-210	Unknown	Unknown
rnd-1_family-54	LINE	RTE-BovB
rnd-1_family-73	Unknown	Unknown
