ID	Order	Superfamily
rnd-1_family-0	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-9	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-35	LTR	Pao
rnd-1_family-36	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	LTR	Pao
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-2_family-3	Unknown	Unknown
rnd-4_family-28	LTR	Pao
rnd-4_family-44	LTR	Pao
rnd-4_family-111	Unknown	Unknown
rnd-4_family-165	Unknown	Unknown
rnd-4_family-325	Unknown	Unknown
rnd-4_family-193	rRNA	Unknown
rnd-4_family-773	Unknown	Unknown
rnd-4_family-305	Unknown	Unknown
rnd-4_family-355	Unknown	Unknown
rnd-4_family-132	LTR	Pao
rnd-5_family-1200	Unknown	Unknown
rnd-5_family-110	Unknown	Unknown
rnd-5_family-237	Unknown	Unknown
rnd-5_family-12	Unknown	Unknown
rnd-5_family-111	Unknown	Unknown
rnd-5_family-1306	Unknown	Unknown
rnd-5_family-259	Unknown	Unknown
rnd-5_family-150	Unknown	Unknown
rnd-5_family-2419	Unknown	Unknown
rnd-5_family-112	Unknown	Unknown
rnd-5_family-561	Unknown	Unknown
rnd-5_family-1923	Unknown	Unknown
rnd-5_family-118	Unknown	Unknown
rnd-5_family-240	Unknown	Unknown
rnd-5_family-1084	LTR	Gypsy
rnd-5_family-2819	Unknown	Unknown
rnd-5_family-694	Unknown	Unknown
rnd-5_family-737	Unknown	Unknown
rnd-5_family-1296	Unknown	Unknown
rnd-5_family-314	Unknown	Unknown
rnd-5_family-2810	Unknown	Unknown
rnd-5_family-340	Unknown	Unknown
rnd-5_family-13	Unknown	Unknown
rnd-5_family-757	rRNA	Unknown
rnd-5_family-664	Unknown	Unknown
