ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Gypsy
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Gypsy
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Pao
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-4	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-459	Unknown	Unknown
rnd-1_family-92	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-299	Unknown	Unknown
rnd-1_family-218	Unknown	Unknown
rnd-1_family-440	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-366	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-422	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-268	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-325	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-193	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-203	Unknown	Unknown
rnd-1_family-133	Unknown	Unknown
rnd-1_family-110	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-91	Unknown	Unknown
rnd-1_family-444	DNA	hAT-Blackjack
rnd-1_family-139	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-162	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-300	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-460	DNA	MULE-MuDR
rnd-1_family-147	Unknown	Unknown
rnd-1_family-252	Unknown	Unknown
rnd-1_family-387	Unknown	Unknown
rnd-1_family-355	Unknown	Unknown
rnd-1_family-219	Unknown	Unknown
rnd-1_family-462	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-56	Satellite	Unknown
rnd-1_family-341	Unknown	Unknown
rnd-1_family-458	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-87	Unknown	Unknown
rnd-1_family-222	Unknown	Unknown
rnd-1_family-294	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-425	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-270	Unknown	Unknown
rnd-1_family-358	Unknown	Unknown
rnd-1_family-241	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-428	Unknown	Unknown
rnd-1_family-168	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-441	Unknown	Unknown
rnd-1_family-180	Unknown	Unknown
rnd-1_family-426	Unknown	Unknown
rnd-1_family-493	Unknown	Unknown
rnd-1_family-465	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-334	Unknown	Unknown
rnd-1_family-181	Unknown	Unknown
rnd-1_family-402	Unknown	Unknown
rnd-1_family-0	Unknown	Unknown
rnd-1_family-273	DNA	TcMar-Tc2
rnd-1_family-136	Simple_repeat	Unknown
rnd-1_family-99	Unknown	Unknown
rnd-1_family-306	Unknown	Unknown
rnd-1_family-329	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-391	Unknown	Unknown
rnd-1_family-271	Unknown	Unknown
rnd-1_family-415	Unknown	Unknown
rnd-1_family-234	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-250	Unknown	Unknown
rnd-1_family-282	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-503	Unknown	Unknown
rnd-1_family-101	Simple_repeat	Unknown
