ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Unknown
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Gypsy
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Gypsy
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Copia
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Gypsy
ltr-1_family-54	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	DNA	TcMar-Mariner
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-1	Unknown	Unknown
rnd-1_family-5	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-6	LTR	Gypsy
rnd-1_family-0	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-7	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-8	DNA	Merlin
rnd-1_family-12	DNA	TcMar-Mariner
rnd-1_family-14	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-9	DNA	Merlin
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	DNA	TcMar-Mariner
rnd-1_family-23	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	DNA	Merlin
rnd-1_family-27	tRNA	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	DNA	Merlin
rnd-1_family-19	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-33	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-36	rRNA	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-34	tRNA	Unknown
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-42	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-45	DNA	Merlin
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-54	tRNA	Unknown
rnd-1_family-55	tRNA	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-58	tRNA	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
