ID	Order	Superfamily
rnd-1_family-144	Unknown	Unknown
rnd-1_family-356	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-389	Unknown	Unknown
rnd-1_family-414	Unknown	Unknown
rnd-1_family-403	Unknown	Unknown
rnd-1_family-366	Unknown	Unknown
rnd-1_family-332	Unknown	Unknown
rnd-1_family-149	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-415	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-125	Unknown	Unknown
rnd-1_family-375	LTR	Gypsy
rnd-1_family-39	Unknown	Unknown
rnd-1_family-40	Unknown	Unknown
rnd-1_family-437	Unknown	Unknown
rnd-1_family-404	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-85	Unknown	Unknown
rnd-1_family-183	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-367	Unknown	Unknown
rnd-1_family-295	Unknown	Unknown
rnd-1_family-105	tRNA	Unknown
rnd-1_family-324	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-256	Unknown	Unknown
rnd-1_family-185	Unknown	Unknown
rnd-1_family-246	RC	Helitron
rnd-1_family-19	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-289	Unknown	Unknown
rnd-1_family-384	Unknown	Unknown
rnd-1_family-398	LTR	Gypsy
rnd-1_family-212	Unknown	Unknown
rnd-1_family-186	Unknown	Unknown
rnd-1_family-197	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-347	Unknown	Unknown
rnd-1_family-303	Unknown	Unknown
rnd-1_family-146	Unknown	Unknown
rnd-1_family-290	Unknown	Unknown
rnd-1_family-317	Unknown	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-336	Unknown	Unknown
rnd-1_family-281	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-70	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-230	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-263	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-252	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-438	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-388	Unknown	Unknown
rnd-1_family-171	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-111	Unknown	Unknown
rnd-1_family-240	Unknown	Unknown
rnd-1_family-444	Unknown	Unknown
rnd-1_family-221	Unknown	Unknown
rnd-1_family-154	Unknown	Unknown
rnd-1_family-141	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-348	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
rnd-1_family-227	Unknown	Unknown
rnd-1_family-43	Unknown	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-399	DNA	hAT-Tag1
rnd-1_family-298	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-228	Unknown	Unknown
rnd-1_family-152	Unknown	Unknown
rnd-1_family-291	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-459	Unknown	Unknown
rnd-1_family-419	Unknown	Unknown
rnd-1_family-80	Unknown	Unknown
rnd-1_family-88	Unknown	Unknown
rnd-1_family-439	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-393	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-447	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-460	Unknown	Unknown
rnd-1_family-267	Unknown	Unknown
