ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Gypsy
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Gypsy
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Gypsy
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Gypsy
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Gypsy
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Gypsy
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LINE	Penelope
ltr-1_family-45	LTR	Pao
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Pao
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	DNA	Merlin
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Gypsy
ltr-1_family-9	LTR	Gypsy
ltr-1_family-10	LTR	Unknown
rnd-1_family-115	Unknown	Unknown
rnd-1_family-240	LTR	Gypsy
rnd-1_family-194	LTR	Gypsy
rnd-1_family-151	LINE	CR1
rnd-1_family-117	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-175	Unknown	Unknown
rnd-1_family-189	Unknown	Unknown
rnd-1_family-147	Unknown	Unknown
rnd-1_family-15	LINE	RTE-BovB
rnd-1_family-102	Unknown	Unknown
rnd-1_family-64	LINE	RTE-BovB
rnd-1_family-46	Unknown	Unknown
rnd-1_family-127	LINE	RTE-BovB
rnd-1_family-173	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-161	LINE	RTE-BovB
rnd-1_family-182	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-243	LINE	CR1
rnd-1_family-78	Unknown	Unknown
rnd-1_family-44	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-139	rRNA	Unknown
rnd-1_family-245	LINE	RTE-BovB
rnd-1_family-95	Unknown	Unknown
rnd-1_family-59	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-39	LINE	RTE-BovB
rnd-1_family-33	LINE	RTE-BovB
rnd-1_family-30	LINE	RTE-BovB
rnd-1_family-58	LINE	RTE-BovB
rnd-1_family-140	LINE	RTE-BovB
rnd-1_family-259	Unknown	Unknown
rnd-1_family-121	LINE	RTE-BovB
rnd-1_family-220	Unknown	Unknown
rnd-1_family-3	Unknown	Unknown
rnd-1_family-251	LINE	Penelope
rnd-1_family-7	Unknown	Unknown
rnd-1_family-123	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-133	LINE	CR1
rnd-1_family-38	Unknown	Unknown
rnd-1_family-144	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-116	LINE	RTE-BovB
rnd-1_family-4	LINE	RTE-BovB
rnd-1_family-89	LINE	RTE-BovB
rnd-1_family-191	LTR	Gypsy
rnd-1_family-108	rRNA	Unknown
rnd-1_family-203	LINE	RTE-BovB
rnd-1_family-36	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-57	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-274	LINE	Rex-Babar
rnd-1_family-6	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-250	Unknown	Unknown
rnd-1_family-70	LINE	RTE-BovB
rnd-1_family-23	Unknown	Unknown
rnd-1_family-206	LINE	RTE-BovB
rnd-1_family-1	Unknown	Unknown
rnd-1_family-32	LINE	RTE-BovB
rnd-1_family-284	LINE	CR1
rnd-1_family-150	Unknown	Unknown
rnd-1_family-18	LINE	RTE-BovB
rnd-1_family-82	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-154	LINE	RTE-BovB
rnd-1_family-60	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-138	LINE	RTE-BovB
rnd-1_family-27	Unknown	Unknown
rnd-1_family-41	LINE	RTE-BovB
rnd-1_family-235	Unknown	Unknown
rnd-1_family-86	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-262	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-53	LINE	RTE-BovB
rnd-1_family-0	Unknown	Unknown
rnd-1_family-260	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-272	Unknown	Unknown
rnd-1_family-71	Unknown	Unknown
