ID	Order	Superfamily
ltr-1_family-1	LINE	RTE-RTE
ltr-1_family-2	LTR	Unknown
ltr-1_family-3	LTR	Pao
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Pao
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Pao
ltr-1_family-8	LTR	Pao
rnd-1_family-112	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-26	LINE	Penelope
rnd-1_family-2	Unknown	Unknown
rnd-1_family-178	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-43	LINE	Penelope
rnd-1_family-96	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-55	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-28	LINE	Penelope
rnd-1_family-74	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-161	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-70	LINE	Penelope
rnd-1_family-7	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-82	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-98	Unknown	Unknown
rnd-1_family-33	LINE	Penelope
rnd-1_family-75	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-20	LINE	Penelope
rnd-1_family-39	Unknown	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-167	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-164	Unknown	Unknown
rnd-1_family-184	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-104	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-95	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
