ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Pao
ltr-1_family-18	LTR	Pao
ltr-1_family-19	LTR	Pao
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Pao
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	DNA	TcMar-Mariner
ltr-1_family-25	LTR	Pao
ltr-1_family-4	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LINE	RTE-RTE
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-237	Unknown	Unknown
rnd-1_family-106	LINE	Penelope
rnd-1_family-107	Unknown	Unknown
rnd-1_family-158	Unknown	Unknown
rnd-1_family-118	LINE	Penelope
rnd-1_family-83	Unknown	Unknown
rnd-1_family-211	Unknown	Unknown
rnd-1_family-90	LINE	Penelope
rnd-1_family-61	Unknown	Unknown
rnd-1_family-159	LINE	RTE-RTE
rnd-1_family-113	Unknown	Unknown
rnd-1_family-196	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-51	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-229	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-215	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-170	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-240	Unknown	Unknown
rnd-1_family-222	Unknown	Unknown
rnd-1_family-37	Unknown	Unknown
rnd-1_family-136	Unknown	Unknown
rnd-1_family-70	LINE	Penelope
rnd-1_family-242	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-200	Unknown	Unknown
