ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Pao
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Gypsy
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Gypsy
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Pao
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Pao
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Pao
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Gypsy
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Gypsy
ltr-1_family-38	LTR	Copia
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-297	Unknown	Unknown
rnd-1_family-589	Unknown	Unknown
rnd-1_family-276	rRNA	Unknown
rnd-1_family-443	Unknown	Unknown
rnd-1_family-365	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-522	Unknown	Unknown
rnd-1_family-479	Unknown	Unknown
rnd-1_family-238	Unknown	Unknown
rnd-1_family-388	Unknown	Unknown
rnd-1_family-336	Unknown	Unknown
rnd-1_family-105	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-478	Unknown	Unknown
rnd-1_family-574	Unknown	Unknown
rnd-1_family-555	Unknown	Unknown
rnd-1_family-444	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-506	Unknown	Unknown
