ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Gypsy
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Pao
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Gypsy
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Gypsy
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Pao
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Unknown
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Pao
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Pao
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Gypsy
ltr-1_family-54	LTR	Unknown
ltr-1_family-55	LTR	Gypsy
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Gypsy
ltr-1_family-58	LTR	Unknown
ltr-1_family-59	LTR	Pao
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Pao
ltr-1_family-64	LTR	Unknown
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Unknown
ltr-1_family-8	LTR	Unknown
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Unknown
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Gypsy
ltr-1_family-75	LTR	Unknown
ltr-1_family-76	LTR	Pao
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Pao
ltr-1_family-79	LTR	Unknown
ltr-1_family-80	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Unknown
ltr-1_family-82	LTR	Pao
ltr-1_family-83	LTR	Gypsy
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Unknown
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Gypsy
ltr-1_family-88	LTR	Unknown
ltr-1_family-89	LTR	Pao
ltr-1_family-10	LTR	Unknown
rnd-1_family-278	Unknown	Unknown
rnd-1_family-210	Unknown	Unknown
rnd-1_family-69	Unknown	Unknown
rnd-1_family-60	Unknown	Unknown
rnd-1_family-361	Unknown	Unknown
rnd-1_family-150	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-265	Unknown	Unknown
rnd-1_family-134	Unknown	Unknown
rnd-1_family-333	Unknown	Unknown
rnd-1_family-314	Unknown	Unknown
rnd-1_family-243	Unknown	Unknown
rnd-1_family-1	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-142	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-282	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-295	Unknown	Unknown
rnd-1_family-316	Unknown	Unknown
rnd-1_family-340	Unknown	Unknown
rnd-1_family-358	Unknown	Unknown
rnd-1_family-93	Unknown	Unknown
rnd-1_family-199	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-208	Unknown	Unknown
rnd-1_family-106	Unknown	Unknown
rnd-1_family-53	Unknown	Unknown
rnd-1_family-320	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-247	Unknown	Unknown
rnd-1_family-312	Unknown	Unknown
rnd-1_family-34	Unknown	Unknown
rnd-1_family-349	Unknown	Unknown
rnd-1_family-273	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-94	Unknown	Unknown
rnd-1_family-161	Simple_repeat	Unknown
rnd-1_family-313	Unknown	Unknown
rnd-1_family-174	Unknown	Unknown
rnd-1_family-319	Unknown	Unknown
rnd-1_family-143	Unknown	Unknown
rnd-1_family-293	Unknown	Unknown
rnd-1_family-157	Unknown	Unknown
rnd-1_family-96	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-270	Unknown	Unknown
rnd-1_family-61	Unknown	Unknown
rnd-1_family-148	Unknown	Unknown
rnd-1_family-239	Unknown	Unknown
rnd-1_family-118	Unknown	Unknown
rnd-1_family-308	Unknown	Unknown
rnd-1_family-155	Unknown	Unknown
rnd-1_family-112	Unknown	Unknown
rnd-1_family-331	Unknown	Unknown
rnd-1_family-172	Unknown	Unknown
