ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Pao
ltr-1_family-14	LTR	Unknown
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Unknown
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Unknown
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Gypsy
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Unknown
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Unknown
ltr-1_family-27	LTR	Gypsy
ltr-1_family-28	LTR	Unknown
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Unknown
ltr-1_family-4	LTR	Unknown
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Unknown
ltr-1_family-33	LTR	Gypsy
ltr-1_family-34	LTR	Unknown
ltr-1_family-35	LTR	Pao
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Unknown
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Unknown
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Unknown
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Unknown
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Unknown
ltr-1_family-47	LTR	Gypsy
ltr-1_family-48	LTR	Gypsy
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Gypsy
ltr-1_family-52	LTR	Unknown
ltr-1_family-53	LTR	Pao
ltr-1_family-54	LTR	Gypsy
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Unknown
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	ERVK
ltr-1_family-59	LTR	Gypsy
ltr-1_family-60	LTR	Unknown
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Gypsy
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Unknown
ltr-1_family-67	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Gypsy
rnd-1_family-195	Unknown	Unknown
rnd-1_family-455	Unknown	Unknown
rnd-1_family-279	Unknown	Unknown
rnd-1_family-224	Unknown	Unknown
rnd-1_family-349	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-169	Unknown	Unknown
rnd-1_family-320	Unknown	Unknown
rnd-1_family-220	Unknown	Unknown
rnd-1_family-72	Unknown	Unknown
rnd-1_family-290	Unknown	Unknown
rnd-1_family-218	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-531	Unknown	Unknown
rnd-1_family-236	Unknown	Unknown
rnd-1_family-313	Unknown	Unknown
rnd-1_family-365	Unknown	Unknown
rnd-1_family-419	Unknown	Unknown
rnd-1_family-396	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-397	Unknown	Unknown
rnd-1_family-347	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-159	Unknown	Unknown
rnd-1_family-489	Unknown	Unknown
rnd-1_family-173	Unknown	Unknown
rnd-1_family-496	Unknown	Unknown
rnd-1_family-431	Unknown	Unknown
rnd-1_family-334	Unknown	Unknown
rnd-1_family-567	Unknown	Unknown
rnd-1_family-324	Unknown	Unknown
rnd-1_family-182	Unknown	Unknown
rnd-1_family-560	Unknown	Unknown
rnd-1_family-437	LINE	RTE-RTE
rnd-1_family-228	Unknown	Unknown
rnd-1_family-413	LINE	RTE-RTE
rnd-1_family-368	Unknown	Unknown
rnd-1_family-325	DNA	TcMar-Tc1
rnd-1_family-551	Unknown	Unknown
rnd-1_family-201	Unknown	Unknown
rnd-1_family-553	DNA	TcMar-Tc4
rnd-1_family-0	Satellite	Unknown
rnd-1_family-463	Unknown	Unknown
rnd-1_family-543	Unknown	Unknown
rnd-1_family-25	DNA	TcMar-Mariner
rnd-1_family-103	Unknown	Unknown
rnd-1_family-179	Unknown	Unknown
rnd-1_family-138	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-126	Unknown	Unknown
rnd-1_family-99	tRNA	Unknown
rnd-1_family-120	Unknown	Unknown
rnd-1_family-360	DNA	TcMar-Tc1
rnd-1_family-269	Unknown	Unknown
rnd-1_family-425	Unknown	Unknown
rnd-1_family-253	Unknown	Unknown
rnd-1_family-285	Unknown	Unknown
rnd-1_family-185	DNA	TcMar-Mariner
rnd-1_family-270	Unknown	Unknown
rnd-1_family-58	Unknown	Unknown
rnd-1_family-261	Unknown	Unknown
rnd-1_family-26	DNA	TcMar-Mariner
rnd-1_family-555	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-128	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-90	Unknown	Unknown
rnd-1_family-505	Unknown	Unknown
rnd-1_family-190	Unknown	Unknown
rnd-1_family-205	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-191	Unknown	Unknown
rnd-1_family-379	Unknown	Unknown
rnd-1_family-447	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-213	Unknown	Unknown
rnd-1_family-345	LINE	RTE-RTE
rnd-1_family-452	Unknown	Unknown
rnd-1_family-177	Unknown	Unknown
