ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Pao
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Pao
ltr-1_family-15	LTR	Pao
ltr-1_family-16	LTR	Unknown
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Pao
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Pao
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	DNA	TcMar-Mariner
ltr-1_family-22	LTR	Unknown
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-4	LTR	Pao
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Unknown
rnd-1_family-192	Unknown	Unknown
rnd-1_family-407	Unknown	Unknown
rnd-1_family-54	Unknown	Unknown
rnd-1_family-363	Unknown	Unknown
rnd-1_family-390	Unknown	Unknown
rnd-1_family-258	Unknown	Unknown
rnd-1_family-150	DNA	TcMar-Mariner
rnd-1_family-300	Unknown	Unknown
rnd-1_family-262	LINE	RTE-RTE
rnd-1_family-142	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-160	Unknown	Unknown
rnd-1_family-186	Unknown	Unknown
rnd-1_family-320	Unknown	Unknown
rnd-1_family-194	Unknown	Unknown
rnd-1_family-373	Unknown	Unknown
rnd-1_family-246	Unknown	Unknown
rnd-1_family-268	Unknown	Unknown
rnd-1_family-73	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-362	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-1_family-306	Unknown	Unknown
rnd-1_family-64	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-337	Unknown	Unknown
rnd-1_family-10	Unknown	Unknown
rnd-1_family-35	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-249	Unknown	Unknown
rnd-1_family-38	Unknown	Unknown
rnd-1_family-292	Simple_repeat	Unknown
rnd-1_family-206	Unknown	Unknown
rnd-1_family-137	Unknown	Unknown
rnd-1_family-310	Unknown	Unknown
rnd-1_family-84	Unknown	Unknown
