ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-12	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-14	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-4	LTR	ERV1
ltr-1_family-5	LTR	Unknown
ltr-1_family-6	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-8	LTR	Pao
ltr-1_family-9	LTR	Unknown
ltr-1_family-10	LTR	Pao
rnd-1_family-4	Unknown	Unknown
rnd-1_family-9	DNA	hAT-Ac
rnd-1_family-15	DNA	hAT-Ac
rnd-1_family-19	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-23	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-33	LINE	RTE-RTE
rnd-1_family-0	tRNA	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-2	tRNA	Unknown
rnd-1_family-34	LINE	L2
rnd-1_family-27	Unknown	Unknown
rnd-1_family-20	LINE	CR1
rnd-1_family-1	RC	Helitron
rnd-1_family-29	LINE	L2
rnd-1_family-10	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-21	LINE	L2
rnd-1_family-28	LINE	CR1
rnd-1_family-6	Unknown	Unknown
rnd-1_family-8	Unknown	Unknown
rnd-1_family-16	Unknown	Unknown
rnd-1_family-18	Unknown	Unknown
rnd-1_family-30	LINE	L2
rnd-1_family-11	Unknown	Unknown
rnd-1_family-32	LINE	L2
rnd-1_family-13	Unknown	Unknown
rnd-1_family-3	tRNA	Unknown
rnd-1_family-7	LINE	CR1
rnd-1_family-5	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-22	LINE	L2
rnd-1_family-31	Unknown	Unknown
rnd-1_family-35	LINE	CR1
rnd-1_family-36	DNA	TcMar-Tigger
rnd-1_family-37	DNA	hAT-Ac
rnd-1_family-38	DNA	TcMar-Tigger
rnd-1_family-39	LINE	RTE
rnd-1_family-40	Unknown	Unknown
rnd-1_family-41	Unknown	Unknown
rnd-1_family-42	LINE	RTE-RTE
rnd-1_family-43	Unknown	Unknown
rnd-1_family-45	Unknown	Unknown
rnd-1_family-46	Unknown	Unknown
rnd-1_family-47	Unknown	Unknown
rnd-1_family-48	Unknown	Unknown
rnd-1_family-49	Unknown	Unknown
rnd-1_family-50	Unknown	Unknown
rnd-1_family-51	LINE	CR1
rnd-1_family-52	Unknown	Unknown
rnd-1_family-54	LINE	RTE-RTE
rnd-1_family-55	Unknown	Unknown
rnd-1_family-56	Unknown	Unknown
rnd-1_family-57	LINE	RTE
rnd-1_family-58	LINE	RTE-RTE
rnd-1_family-59	Unknown	Unknown
rnd-1_family-53	LINE	RTE-RTE
rnd-1_family-60	LINE	RTE
rnd-1_family-61	Unknown	Unknown
rnd-1_family-62	Unknown	Unknown
rnd-1_family-63	Unknown	Unknown
rnd-1_family-64	LINE	Penelope
rnd-1_family-65	Unknown	Unknown
rnd-1_family-66	Unknown	Unknown
rnd-1_family-67	Unknown	Unknown
rnd-1_family-68	Unknown	Unknown
rnd-1_family-69	LINE	RTE
rnd-1_family-70	LINE	RTE-RTE
rnd-1_family-71	Unknown	Unknown
rnd-1_family-72	LINE	L2
rnd-1_family-73	Unknown	Unknown
rnd-1_family-74	Unknown	Unknown
rnd-1_family-76	Unknown	Unknown
rnd-1_family-77	LINE	CR1
rnd-1_family-78	Unknown	Unknown
rnd-1_family-79	Unknown	Unknown
rnd-1_family-81	Unknown	Unknown
rnd-1_family-82	LINE	CR1
rnd-1_family-84	Unknown	Unknown
rnd-1_family-83	LINE	RTE-RTE
rnd-1_family-86	LINE	RTE-RTE
rnd-1_family-87	Unknown	Unknown
rnd-1_family-85	LTR	Gypsy
rnd-1_family-88	LINE	CR1
rnd-1_family-89	LINE	L2
rnd-1_family-90	LINE	RTE-RTE
rnd-1_family-92	LINE	L2
rnd-1_family-95	Unknown	Unknown
rnd-1_family-96	LINE	RTE-RTE
rnd-1_family-94	LINE	CR1
rnd-1_family-98	Unknown	Unknown
rnd-1_family-97	Unknown	Unknown
rnd-1_family-99	LTR	Gypsy
rnd-1_family-101	Unknown	Unknown
rnd-1_family-102	Unknown	Unknown
rnd-1_family-103	Unknown	Unknown
rnd-1_family-100	LINE	RTE-RTE
rnd-1_family-93	LINE	RTE-RTE
rnd-1_family-104	Unknown	Unknown
rnd-1_family-105	LINE	CR1
rnd-1_family-91	LINE	RTE-RTE
rnd-1_family-106	LTR	Gypsy
rnd-1_family-107	Unknown	Unknown
rnd-1_family-108	Unknown	Unknown
rnd-1_family-109	Unknown	Unknown
rnd-1_family-111	LINE	RTE-RTE
rnd-1_family-112	Unknown	Unknown
rnd-1_family-113	Unknown	Unknown
rnd-1_family-114	tRNA	Unknown
rnd-1_family-110	LINE	CR1
rnd-1_family-115	LINE	RTE
rnd-1_family-116	Unknown	Unknown
rnd-1_family-117	Unknown	Unknown
rnd-1_family-118	LTR	Gypsy
rnd-1_family-120	Unknown	Unknown
rnd-1_family-121	Unknown	Unknown
rnd-1_family-122	LINE	CR1
rnd-1_family-123	Unknown	Unknown
rnd-1_family-124	LINE	Penelope
rnd-1_family-125	Unknown	Unknown
rnd-1_family-126	LINE	CR1
rnd-1_family-128	Unknown	Unknown
rnd-1_family-129	Unknown	Unknown
rnd-1_family-130	Unknown	Unknown
rnd-1_family-131	Unknown	Unknown
rnd-1_family-132	Unknown	Unknown
rnd-1_family-127	Unknown	Unknown
rnd-1_family-133	LINE	CR1
rnd-1_family-134	Unknown	Unknown
rnd-1_family-135	Unknown	Unknown
