ID	Order	Superfamily
rnd-1_family-5	Unknown	Unknown
rnd-1_family-4	Unknown	Unknown
rnd-1_family-17	Unknown	Unknown
rnd-1_family-12	Unknown	Unknown
rnd-1_family-11	Unknown	Unknown
rnd-1_family-15	Unknown	Unknown
rnd-1_family-10	LINE	R1
rnd-1_family-1	LINE	Dong-R4
rnd-1_family-9	Unknown	Unknown
rnd-1_family-0	LINE	Dong-R4
rnd-1_family-16	Unknown	Unknown
rnd-1_family-2	Unknown	Unknown
rnd-1_family-8	LINE	Dong-R4
rnd-1_family-3	Unknown	Unknown
rnd-1_family-14	Unknown	Unknown
rnd-1_family-7	LINE	Dong-R4
rnd-1_family-18	Unknown	Unknown
rnd-1_family-6	Unknown	Unknown
rnd-1_family-19	Unknown	Unknown
rnd-1_family-13	Unknown	Unknown
rnd-1_family-20	Unknown	Unknown
rnd-1_family-21	Unknown	Unknown
rnd-1_family-22	Unknown	Unknown
rnd-1_family-23	Satellite	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-25	Unknown	Unknown
rnd-1_family-26	Unknown	Unknown
rnd-1_family-27	Unknown	Unknown
rnd-1_family-28	Unknown	Unknown
rnd-1_family-29	Unknown	Unknown
rnd-1_family-30	Unknown	Unknown
rnd-1_family-31	Unknown	Unknown
rnd-1_family-32	Unknown	Unknown
rnd-2_family-18	Unknown	Unknown
rnd-3_family-46	LINE	Dong-R4
rnd-4_family-280	Unknown	Unknown
rnd-4_family-452	DNA	CMC-EnSpm
rnd-4_family-424	Simple_repeat	Unknown
rnd-4_family-297	Unknown	Unknown
rnd-4_family-933	Unknown	Unknown
rnd-4_family-296	Unknown	Unknown
rnd-4_family-832	Unknown	Unknown
rnd-4_family-98	Unknown	Unknown
rnd-4_family-337	Unknown	Unknown
rnd-4_family-225	Unknown	Unknown
rnd-5_family-14	Unknown	Unknown
rnd-5_family-224	Unknown	Unknown
rnd-5_family-230	Unknown	Unknown
rnd-5_family-431	LINE	Dong-R4
rnd-5_family-579	Unknown	Unknown
rnd-5_family-318	LINE	Dong-R4
rnd-5_family-577	Unknown	Unknown
rnd-5_family-233	Unknown	Unknown
